Element Type: DimNode 0, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-90.31, -24.85, 0.00), (-90.29, -24.84, 0.00)], Position: (-90.30, -24.85), Info String: Dim Node 0
Element Type: DimNode 14, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: EA831C46-0CC3-46C8-B79D-F48FC9F9D890, Text: 10, Length: 0.10, DimNode 14 Bounding Box: [(-69.81, -24.85, 0.00), (-69.79, -24.84, 0.00)], Position: (-69.80, -24.85), Info String: Dim Node 14
Element Type: DimNode 15, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 76B019B8-640B-41CF-AF4D-AA141D772E5E, Text: 240, Length: 2.40, DimNode 15 Bounding Box: [(-67.40, -24.85, 0.00), (-67.39, -24.84, 0.00)], Position: (-67.40, -24.85), Info String: Dim Node 15
Element Type: DimNode 16, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 76B019B8-640B-41CF-AF4D-AA141D772E5E, Text: 10, Length: 0.10, DimNode 16 Bounding Box: [(-67.31, -24.85, 0.00), (-67.29, -24.84, 0.00)], Position: (-67.30, -24.85), Info String: Dim Node 16
Element Type: DimNode 17, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 98607A70-2937-4B9C-9974-DAFE528D12B7, Text: 410, Length: 4.10, DimNode 17 Bounding Box: [(-63.21, -24.85, 0.00), (-63.19, -24.84, 0.00)], Position: (-63.20, -24.85), Info String: Dim Node 17
Element Type: DimNode 18, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 98607A70-2937-4B9C-9974-DAFE528D12B7, Text: 20, Length: 0.20, DimNode 18 Bounding Box: [(-63.01, -24.85, 0.00), (-62.99, -24.84, 0.00)], Position: (-63.00, -24.85), Info String: Dim Node 18
Element Type: DimNode 19, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 5C02E0F3-0B45-454C-85CA-28B45CA550C7, Text: 10, Length: 0.10, DimNode 19 Bounding Box: [(-62.90, -24.85, 0.00), (-62.90, -24.84, 0.00)], Position: (-62.90, -24.85), Info String: Dim Node 19
Element Type: DimNode 20, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 5C02E0F3-0B45-454C-85CA-28B45CA550C7, Text: 20, Length: 0.20, DimNode 20 Bounding Box: [(-62.70, -24.85, 0.00), (-62.69, -24.84, 0.00)], Position: (-62.70, -24.85), Info String: Dim Node 20
Element Type: DimNode 21, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 7D2AA1F4-F9A4-4D45-957C-FCBEB356BA54, Text: 320, Length: 3.20, DimNode 21 Bounding Box: [(-59.51, -24.85, 0.00), (-59.49, -24.84, 0.00)], Position: (-59.50, -24.85), Info String: Dim Node 21
Element Type: DimNode 22, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 7D2AA1F4-F9A4-4D45-957C-FCBEB356BA54, Text: 10, Length: 0.10, DimNode 22 Bounding Box: [(-59.40, -24.85, 0.00), (-59.40, -24.84, 0.00)], Position: (-59.40, -24.85), Info String: Dim Node 22
Element Type: DimNode 23, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 5785CFBA-D444-45CE-9E7D-244D91F16910, Text: 250, Length: 2.50, DimNode 23 Bounding Box: [(-56.90, -24.85, 0.00), (-56.90, -24.84, 0.00)], Position: (-56.90, -24.85), Info String: Dim Node 23
Element Type: DimNode 24, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 5785CFBA-D444-45CE-9E7D-244D91F16910, Text: 10, Length: 0.10, DimNode 24 Bounding Box: [(-56.81, -24.85, 0.00), (-56.79, -24.84, 0.00)], Position: (-56.80, -24.85), Info String: Dim Node 24
Element Type: DimNode 25, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: C3F869BE-88F2-434E-92CE-D6F9D55738DE, Text: 307.5, Length: 3.07, DimNode 25 Bounding Box: [(-53.73, -24.85, 0.00), (-53.72, -24.84, 0.00)], Position: (-53.72, -24.85), Info String: Dim Node 25
Element Type: DimNode 26, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: C3F869BE-88F2-434E-92CE-D6F9D55738DE, Text: 20, Length: 0.20, DimNode 26 Bounding Box: [(-53.53, -24.85, 0.00), (-53.52, -24.84, 0.00)], Position: (-53.52, -24.85), Info String: Dim Node 26
Element Type: DimNode 27, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: B195D391-3EC8-46C4-98B5-74C5E197BD89, Text: 307.5, Length: 3.07, DimNode 27 Bounding Box: [(-50.45, -24.85, 0.00), (-50.44, -24.84, 0.00)], Position: (-50.45, -24.85), Info String: Dim Node 27
Element Type: DimNode 28, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: B195D391-3EC8-46C4-98B5-74C5E197BD89, Text: 10, Length: 0.10, DimNode 28 Bounding Box: [(-50.35, -24.85, 0.00), (-50.35, -24.84, 0.00)], Position: (-50.35, -24.85), Info String: Dim Node 28
Element Type: DimNode 29, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 9840634E-6856-46E5-A37C-BCDE4FFF6481, Text: 250, Length: 2.50, DimNode 29 Bounding Box: [(-47.85, -24.85, 0.00), (-47.85, -24.84, 0.00)], Position: (-47.85, -24.85), Info String: Dim Node 29
Element Type: DimNode 30, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 9840634E-6856-46E5-A37C-BCDE4FFF6481, Text: 10, Length: 0.10, DimNode 30 Bounding Box: [(-47.76, -24.85, 0.00), (-47.74, -24.84, 0.00)], Position: (-47.75, -24.85), Info String: Dim Node 30
Element Type: DimNode 31, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 08388E86-1FE4-4615-BBDE-A1F9542E357F, Text: 325, Length: 3.25, DimNode 31 Bounding Box: [(-44.51, -24.85, 0.00), (-44.49, -24.84, 0.00)], Position: (-44.50, -24.85), Info String: Dim Node 31
Element Type: DimNode 32, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 08388E86-1FE4-4615-BBDE-A1F9542E357F, Text: 20, Length: 0.20, DimNode 32 Bounding Box: [(-44.31, -24.85, 0.00), (-44.29, -24.84, 0.00)], Position: (-44.30, -24.85), Info String: Dim Node 32
Element Type: DimNode 33, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 845D8EF5-0DB1-4025-B64B-BCF3A7D45768, Text: 325, Length: 3.25, DimNode 33 Bounding Box: [(-41.06, -24.85, 0.00), (-41.04, -24.84, 0.00)], Position: (-41.05, -24.85), Info String: Dim Node 33
Element Type: DimNode 34, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 845D8EF5-0DB1-4025-B64B-BCF3A7D45768, Text: 10, Length: 0.10, DimNode 34 Bounding Box: [(-40.95, -24.85, 0.00), (-40.94, -24.84, 0.00)], Position: (-40.95, -24.85), Info String: Dim Node 34
Element Type: DimNode 35, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: D6AF76FE-E474-47F8-8BE6-A534BDA0D7A4, Text: 250, Length: 2.50, DimNode 35 Bounding Box: [(-38.45, -24.85, 0.00), (-38.44, -24.84, 0.00)], Position: (-38.45, -24.85), Info String: Dim Node 35
Element Type: DimNode 36, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: D6AF76FE-E474-47F8-8BE6-A534BDA0D7A4, Text: 10, Length: 0.10, DimNode 36 Bounding Box: [(-38.35, -24.85, 0.00), (-38.35, -24.84, 0.00)], Position: (-38.35, -24.85), Info String: Dim Node 36
Element Type: DimNode 37, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 71396721-387D-49DA-86B1-BD52A4259C8B, Text: 307.5, Length: 3.07, DimNode 37 Bounding Box: [(-35.28, -24.85, 0.00), (-35.27, -24.84, 0.00)], Position: (-35.27, -24.85), Info String: Dim Node 37
Element Type: DimNode 38, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 71396721-387D-49DA-86B1-BD52A4259C8B, Text: 20, Length: 0.20, DimNode 38 Bounding Box: [(-35.08, -24.85, 0.00), (-35.07, -24.84, 0.00)], Position: (-35.07, -24.85), Info String: Dim Node 38
Element Type: DimNode 39, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: E4FB5C91-C9DE-4D8D-BEAB-2003518093F1, Text: 307.5, Length: 3.07, DimNode 39 Bounding Box: [(-32.01, -24.85, 0.00), (-32.00, -24.84, 0.00)], Position: (-32.00, -24.85), Info String: Dim Node 39
Element Type: DimNode 40, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: E4FB5C91-C9DE-4D8D-BEAB-2003518093F1, Text: 10, Length: 0.10, DimNode 40 Bounding Box: [(-31.91, -24.85, 0.00), (-31.90, -24.84, 0.00)], Position: (-31.90, -24.85), Info String: Dim Node 40
Element Type: DimNode 41, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 32B598BC-5463-4FE5-A073-608092119032, Text: 250, Length: 2.50, DimNode 41 Bounding Box: [(-29.40, -24.85, 0.00), (-29.39, -24.84, 0.00)], Position: (-29.40, -24.85), Info String: Dim Node 41
Element Type: DimNode 42, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 32B598BC-5463-4FE5-A073-608092119032, Text: 10, Length: 0.10, DimNode 42 Bounding Box: [(-29.31, -24.85, 0.00), (-29.30, -24.84, 0.00)], Position: (-29.30, -24.85), Info String: Dim Node 42
Element Type: DimNode 43, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 800998D1-C1B6-4C92-9AD5-F5058A08163B, Text: 320, Length: 3.20, DimNode 43 Bounding Box: [(-26.10, -24.85, 0.00), (-26.09, -24.84, 0.00)], Position: (-26.10, -24.85), Info String: Dim Node 43
Element Type: DimNode 44, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 800998D1-C1B6-4C92-9AD5-F5058A08163B, Text: 20, Length: 0.20, DimNode 44 Bounding Box: [(-25.90, -24.85, 0.00), (-25.90, -24.84, 0.00)], Position: (-25.90, -24.85), Info String: Dim Node 44
Element Type: DimNode 45, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 5E534E59-E7B5-473C-AD01-9BBD7D2DA1DC, Text: 10, Length: 0.10, DimNode 45 Bounding Box: [(-25.81, -24.85, 0.00), (-25.80, -24.84, 0.00)], Position: (-25.80, -24.85), Info String: Dim Node 45
Element Type: DimNode 46, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 21E85560-53BF-4ECB-825B-0950A35A4F3D, Text: 20, Length: 0.20, DimNode 46 Bounding Box: [(-25.60, -24.85, 0.00), (-25.59, -24.84, 0.00)], Position: (-25.60, -24.85), Info String: Dim Node 46
Element Type: DimNode 47, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 89154680-4158-4C95-B213-323296E9645D, Text: 410, Length: 4.10, DimNode 47 Bounding Box: [(-21.50, -24.85, 0.00), (-21.49, -24.84, 0.00)], Position: (-21.50, -24.85), Info String: Dim Node 47
Element Type: DimNode 48, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 89154680-4158-4C95-B213-323296E9645D, Text: 10, Length: 0.10, DimNode 48 Bounding Box: [(-21.40, -24.85, 0.00), (-21.39, -24.84, 0.00)], Position: (-21.40, -24.85), Info String: Dim Node 48
Element Type: DimNode 49, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 85CF8091-2A61-49E2-AFD2-26AE42C4B9AD, Text: 240, Length: 2.40, DimNode 49 Bounding Box: [(-19.00, -24.85, 0.00), (-18.99, -24.84, 0.00)], Position: (-19.00, -24.85), Info String: Dim Node 49
Element Type: DimNode 50, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 85CF8091-2A61-49E2-AFD2-26AE42C4B9AD, Text: 10, Length: 0.10, DimNode 50 Bounding Box: [(-18.90, -24.85, 0.00), (-18.89, -24.84, 0.00)], Position: (-18.90, -24.85), Info String: Dim Node 50
Element Type: DimNode 51, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 0943EE29-357A-40E9-8490-5C21A02D8C14, Text: 250, Length: 2.50, DimNode 51 Bounding Box: [(-16.41, -24.85, 0.00), (-16.40, -24.84, 0.00)], Position: (-16.40, -24.85), Info String: Dim Node 51
Element Type: DimNode 52, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 0943EE29-357A-40E9-8490-5C21A02D8C14, Text: 10, Length: 0.10, DimNode 52 Bounding Box: [(-16.31, -24.85, 0.00), (-16.30, -24.84, 0.00)], Position: (-16.30, -24.85), Info String: Dim Node 52
Element Type: DimNode 53, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: FBC94908-9ED5-4041-A21F-12231E9CF2C4, Text: 320, Length: 3.20, DimNode 53 Bounding Box: [(-13.10, -24.85, 0.00), (-13.09, -24.84, 0.00)], Position: (-13.10, -24.85), Info String: Dim Node 53
Element Type: DimNode 54, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: FBC94908-9ED5-4041-A21F-12231E9CF2C4, Text: 20, Length: 0.20, DimNode 54 Bounding Box: [(-12.90, -24.85, 0.00), (-12.89, -24.84, 0.00)], Position: (-12.90, -24.85), Info String: Dim Node 54
Element Type: DimNode 55, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 314EF295-93D7-413E-AF59-E75387775183, Text: 325, Length: 3.25, DimNode 55 Bounding Box: [(-9.65, -24.85, 0.00), (-9.64, -24.84, 0.00)], Position: (-9.65, -24.85), Info String: Dim Node 55
Element Type: DimNode 56, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 314EF295-93D7-413E-AF59-E75387775183, Text: 10, Length: 0.10, DimNode 56 Bounding Box: [(-9.55, -24.85, 0.00), (-9.54, -24.84, 0.00)], Position: (-9.55, -24.85), Info String: Dim Node 56
Element Type: DimNode 57, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: BF9564E1-532C-489D-AFE2-A7F03D6C5DC1, Text: 275, Length: 2.75, DimNode 57 Bounding Box: [(-6.80, -24.85, 0.00), (-6.79, -24.84, 0.00)], Position: (-6.80, -24.85), Info String: Dim Node 57
Element Type: DimNode 58, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: BF9564E1-532C-489D-AFE2-A7F03D6C5DC1, Text: 10, Length: 0.10, DimNode 58 Bounding Box: [(-6.70, -24.85, 0.00), (-6.69, -24.84, 0.00)], Position: (-6.70, -24.85), Info String: Dim Node 58
Element Type: DimNode 59, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 230, Length: 2.30, DimNode 59 Bounding Box: [(-4.40, -24.85, 0.00), (-4.39, -24.84, 0.00)], Position: (-4.40, -24.85), Info String: Dim Node 59
Element Type: DimNode 60, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 10, Length: 0.10, DimNode 60 Bounding Box: [(-4.30, -24.85, 0.00), (-4.29, -24.84, 0.00)], Position: (-4.30, -24.85), Info String: Dim Node 60
Element Type: DimNode 61, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: C9274652-8888-458F-A188-CFA2599E8153, Text: 500, Length: 5.00, DimNode 61 Bounding Box: [(0.70, -24.85, 0.00), (0.71, -24.84, 0.00)], Position: (0.70, -24.85), Info String: Dim Node 61
Element Type: DimNode 62, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: C9274652-8888-458F-A188-CFA2599E8153, Text: 10, Length: 0.10, DimNode 62 Bounding Box: [(0.80, -24.85, 0.00), (0.81, -24.84, 0.00)], Position: (0.80, -24.85), Info String: Dim Node 62
Element Type: DimNode 63, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 70, Length: 0.70, DimNode 63 Bounding Box: [(1.49, -24.85, 0.00), (1.50, -24.84, 0.00)], Position: (1.50, -24.85), Info String: Dim Node 63
Element Type: Dimension, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Dimension Bounding Box: [(-90.36, -24.94, 0.20), (1.56, -24.76, 0.20)], Length: 91.80, Info String: Dim 1
Element Type: DimNode 64, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 64 Bounding Box: [(-88.60, -5.61, 0.00), (-88.60, -5.59, 0.00)], Position: (-88.60, -5.60), Info String: Dim Node 64
Element Type: DimNode 65, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 65 Bounding Box: [(-88.40, -5.61, 0.00), (-88.39, -5.59, 0.00)], Position: (-88.40, -5.60), Info String: Dim Node 65
Element Type: DimNode 66, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 3F4D0EF4-401B-4021-9E99-CC3DB28A83C1, Text: 40, Length: 0.40, DimNode 66 Bounding Box: [(-88.00, -5.61, 0.00), (-88.00, -5.59, 0.00)], Position: (-88.00, -5.60), Info String: Dim Node 66
Element Type: DimNode 67, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 570, Length: 5.70, DimNode 67 Bounding Box: [(-82.31, -5.61, 0.00), (-82.29, -5.59, 0.00)], Position: (-82.30, -5.60), Info String: Dim Node 67
Element Type: DimNode 68, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 68 Bounding Box: [(-82.10, -5.61, 0.00), (-82.10, -5.59, 0.00)], Position: (-82.10, -5.60), Info String: Dim Node 68
Element Type: DimNode 69, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 3F4D0EF4-401B-4021-9E99-CC3DB28A83C1, Text: 10, Length: 0.10, DimNode 69 Bounding Box: [(-82.00, -5.61, 0.00), (-82.00, -5.59, 0.00)], Position: (-82.00, -5.60), Info String: Dim Node 69
Element Type: DimNode 70, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 610, Length: 6.10, DimNode 70 Bounding Box: [(-75.90, -5.61, 0.00), (-75.89, -5.59, 0.00)], Position: (-75.90, -5.60), Info String: Dim Node 70
Element Type: DimNode 71, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 71 Bounding Box: [(-75.71, -5.61, 0.00), (-75.69, -5.59, 0.00)], Position: (-75.70, -5.60), Info String: Dim Node 71
Element Type: DimNode 72, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 3F4D0EF4-401B-4021-9E99-CC3DB28A83C1, Text: 10, Length: 0.10, DimNode 72 Bounding Box: [(-75.60, -5.61, 0.00), (-75.60, -5.59, 0.00)], Position: (-75.60, -5.60), Info String: Dim Node 72
Element Type: DimNode 73, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 610, Length: 6.10, DimNode 73 Bounding Box: [(-69.50, -5.61, 0.00), (-69.50, -5.59, 0.00)], Position: (-69.50, -5.60), Info String: Dim Node 73
Element Type: DimNode 74, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 74 Bounding Box: [(-69.31, -5.61, 0.00), (-69.29, -5.59, 0.00)], Position: (-69.30, -5.60), Info String: Dim Node 74
Element Type: DimNode 75, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 3F4D0EF4-401B-4021-9E99-CC3DB28A83C1, Text: 10, Length: 0.10, DimNode 75 Bounding Box: [(-69.21, -5.61, 0.00), (-69.19, -5.59, 0.00)], Position: (-69.20, -5.60), Info String: Dim Node 75
Element Type: DimNode 76, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 600, Length: 6.00, DimNode 76 Bounding Box: [(-63.21, -5.61, 0.00), (-63.19, -5.59, 0.00)], Position: (-63.20, -5.60), Info String: Dim Node 76
Element Type: DimNode 77, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 77 Bounding Box: [(-63.01, -5.61, 0.00), (-62.99, -5.59, 0.00)], Position: (-63.00, -5.60), Info String: Dim Node 77
Element Type: DimNode 78, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 10, Length: 0.10, DimNode 78 Bounding Box: [(-62.90, -5.61, 0.00), (-62.90, -5.59, 0.00)], Position: (-62.90, -5.60), Info String: Dim Node 78
Element Type: DimNode 79, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 79 Bounding Box: [(-62.70, -5.61, 0.00), (-62.69, -5.59, 0.00)], Position: (-62.70, -5.60), Info String: Dim Node 79
Element Type: DimNode 80, GUID: A774469A-BC15-4536-8E35-E45B86EA131A, Associated Element GUID: 9F69B9D3-DE99-47BB-BFAA-C638068880C6, Text: 20, Length: 0.20, DimNode 80 Bounding Box: [(-62.51, -5.61, 0.00), (-62.49, -5.59, 0.00)], Position: (-62.50, -5.60), Info String: Dim Node 80
