Element Type: DimNode 0, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-88.60, -1.73, 0.00), (-88.60, -1.72, 0.00)], Position: (-88.60, -1.72), Info String: Dim Node 0
Element Type: DimNode 24, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: B79977DB-ACF4-E989-4052-5633ABB0C9B8, Text: 15, Length: 0.15, DimNode 24 Bounding Box: [(-75.73, 0.81, 0.00), (-75.72, 0.82, 0.00)], Position: (-75.72, 0.81), Info String: Dim Node 24
Element Type: DimNode 25, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: 68EC9326-E11A-08B4-ABE3-149C272F883B, Text: 264.5, Length: 2.64, DimNode 25 Bounding Box: [(-73.08, 0.81, 0.00), (-73.07, 0.82, 0.00)], Position: (-73.08, 0.81), Info String: Dim Node 25
Element Type: DimNode 26, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: 68EC9326-E11A-08B4-ABE3-149C272F883B, Text: 15, Length: 0.15, DimNode 26 Bounding Box: [(-72.93, 0.81, 0.00), (-72.92, 0.82, 0.00)], Position: (-72.93, 0.81), Info String: Dim Node 26
Element Type: DimNode 27, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: BDA718A3-9D5E-0032-3EBD-DF43A7252DDF, Text: 331, Length: 3.31, DimNode 27 Bounding Box: [(-69.62, 0.81, 0.00), (-69.61, 0.82, 0.00)], Position: (-69.62, 0.81), Info String: Dim Node 27
Element Type: DimNode 28, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: BDA718A3-9D5E-0032-3EBD-DF43A7252DDF, Text: 15, Length: 0.15, DimNode 28 Bounding Box: [(-69.47, 0.81, 0.00), (-69.46, 0.82, 0.00)], Position: (-69.47, 0.81), Info String: Dim Node 28
Element Type: DimNode 29, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: C8962100-BCCA-D564-1134-47CD0A9BD7C7, Text: 287, Length: 2.87, DimNode 29 Bounding Box: [(-66.61, 0.81, 0.00), (-66.60, 0.82, 0.00)], Position: (-66.60, 0.81), Info String: Dim Node 29
Element Type: DimNode 30, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: C8962100-BCCA-D564-1134-47CD0A9BD7C7, Text: 10, Length: 0.10, DimNode 30 Bounding Box: [(-66.50, 0.81, 0.00), (-66.50, 0.82, 0.00)], Position: (-66.50, 0.81), Info String: Dim Node 30
Element Type: DimNode 31, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Associated Element GUID: E57A8E47-5255-EA03-257E-D6CA8AA537B5, Text: 470, Length: 4.70, DimNode 31 Bounding Box: [(-61.81, 0.81, 0.00), (-61.79, 0.82, 0.00)], Position: (-61.80, 0.81), Info String: Dim Node 31
Element Type: Dimension, GUID: B92508B1-4A9E-4D4C-8FF1-D69125D38C02, Dimension Bounding Box: [(-88.66, 0.72, 0.20), (-61.74, 0.91, 0.20)], Length: 26.80, Info String: Dim 2
Element Type: DimNode 32, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 32 Bounding Box: [(-88.60, -5.83, 0.00), (-88.60, -5.82, 0.00)], Position: (-88.60, -5.82), Info String: Dim Node 32
Element Type: DimNode 33, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 33 Bounding Box: [(-88.40, -5.83, 0.00), (-88.39, -5.82, 0.00)], Position: (-88.40, -5.82), Info String: Dim Node 33
Element Type: DimNode 34, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: CEF35507-5E55-2107-6583-1650B40C3233, Text: 328, Length: 3.28, DimNode 34 Bounding Box: [(-85.12, -5.83, 0.00), (-85.11, -5.82, 0.00)], Position: (-85.12, -5.82), Info String: Dim Node 34
Element Type: DimNode 35, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: B36EAD8D-80A0-9ECA-E6E4-6BB830DF35E7, Text: 492, Length: 4.92, DimNode 35 Bounding Box: [(-80.21, -5.83, 0.00), (-80.19, -5.82, 0.00)], Position: (-80.20, -5.82), Info String: Dim Node 35
Element Type: DimNode 36, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: B36EAD8D-80A0-9ECA-E6E4-6BB830DF35E7, Text: 20, Length: 0.20, DimNode 36 Bounding Box: [(-80.00, -5.83, 0.00), (-80.00, -5.82, 0.00)], Position: (-80.00, -5.82), Info String: Dim Node 36
Element Type: DimNode 37, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 39D75CB0-BFD3-4417-117E-7A1EBD0F0FD9, Text: 135, Length: 1.35, DimNode 37 Bounding Box: [(-78.65, -5.83, 0.00), (-78.64, -5.82, 0.00)], Position: (-78.65, -5.82), Info String: Dim Node 37
Element Type: DimNode 38, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 39D75CB0-BFD3-4417-117E-7A1EBD0F0FD9, Text: 10, Length: 0.10, DimNode 38 Bounding Box: [(-78.56, -5.83, 0.00), (-78.54, -5.82, 0.00)], Position: (-78.55, -5.82), Info String: Dim Node 38
Element Type: DimNode 39, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 547F4C3D-BAE6-5CCE-4DF9-654BF6A18D01, Text: 265, Length: 2.65, DimNode 39 Bounding Box: [(-75.90, -5.83, 0.00), (-75.89, -5.82, 0.00)], Position: (-75.90, -5.82), Info String: Dim Node 39
Element Type: DimNode 40, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 547F4C3D-BAE6-5CCE-4DF9-654BF6A18D01, Text: 20, Length: 0.20, DimNode 40 Bounding Box: [(-75.71, -5.83, 0.00), (-75.69, -5.82, 0.00)], Position: (-75.70, -5.82), Info String: Dim Node 40
Element Type: DimNode 41, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: C8051F9E-3171-AA71-6A84-0F1DD3711BAB, Text: 265, Length: 2.65, DimNode 41 Bounding Box: [(-73.06, -5.83, 0.00), (-73.04, -5.82, 0.00)], Position: (-73.05, -5.82), Info String: Dim Node 41
Element Type: DimNode 42, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: C8051F9E-3171-AA71-6A84-0F1DD3711BAB, Text: 10, Length: 0.10, DimNode 42 Bounding Box: [(-72.96, -5.83, 0.00), (-72.94, -5.82, 0.00)], Position: (-72.95, -5.82), Info String: Dim Node 42
Element Type: DimNode 43, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 4CA18E50-B633-7ADC-610B-118B3A61C5BB, Text: 135, Length: 1.35, DimNode 43 Bounding Box: [(-71.60, -5.83, 0.00), (-71.60, -5.82, 0.00)], Position: (-71.60, -5.82), Info String: Dim Node 43
Element Type: DimNode 44, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 4CA18E50-B633-7ADC-610B-118B3A61C5BB, Text: 20, Length: 0.20, DimNode 44 Bounding Box: [(-71.40, -5.83, 0.00), (-71.39, -5.82, 0.00)], Position: (-71.40, -5.82), Info String: Dim Node 44
Element Type: DimNode 45, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: C50CE40C-7AC8-4209-B061-59871BC706B3, Text: 210, Length: 2.10, DimNode 45 Bounding Box: [(-69.31, -5.83, 0.00), (-69.29, -5.82, 0.00)], Position: (-69.30, -5.82), Info String: Dim Node 45
Element Type: DimNode 46, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: C50CE40C-7AC8-4209-B061-59871BC706B3, Text: 10, Length: 0.10, DimNode 46 Bounding Box: [(-69.21, -5.83, 0.00), (-69.19, -5.82, 0.00)], Position: (-69.20, -5.82), Info String: Dim Node 46
Element Type: DimNode 47, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: C8962100-BCCA-D564-1134-47CD0A9BD7C7, Text: 270, Length: 2.70, DimNode 47 Bounding Box: [(-66.50, -5.83, 0.00), (-66.50, -5.82, 0.00)], Position: (-66.50, -5.82), Info String: Dim Node 47
Element Type: DimNode 48, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: F9A8E76E-F87D-83AF-68B6-198A7A7D1C66, Text: 108, Length: 1.08, DimNode 48 Bounding Box: [(-65.42, -5.83, 0.00), (-65.42, -5.82, 0.00)], Position: (-65.42, -5.82), Info String: Dim Node 48
Element Type: DimNode 49, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 3A80999F-E3D0-867B-F57D-3E155B2D6A89, Text: 222, Length: 2.22, DimNode 49 Bounding Box: [(-63.20, -5.83, 0.00), (-63.19, -5.82, 0.00)], Position: (-63.20, -5.82), Info String: Dim Node 49
Element Type: DimNode 50, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 3A80999F-E3D0-867B-F57D-3E155B2D6A89, Text: 20, Length: 0.20, DimNode 50 Bounding Box: [(-63.01, -5.83, 0.00), (-62.99, -5.82, 0.00)], Position: (-63.00, -5.82), Info String: Dim Node 50
Element Type: DimNode 51, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Associated Element GUID: 3101ACD8-5C91-AB54-6DDE-71291E6C1D69, Text: 120, Length: 1.20, DimNode 51 Bounding Box: [(-61.81, -5.83, 0.00), (-61.79, -5.82, 0.00)], Position: (-61.80, -5.82), Info String: Dim Node 51
Element Type: Dimension, GUID: 7E2AEDD5-B75A-43E1-B4BF-F47B5EAE3A89, Dimension Bounding Box: [(-88.66, -5.92, 0.20), (-61.74, -5.73, 0.20)], Length: 26.80, Info String: Dim 3
Element Type: DimNode 52, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 52 Bounding Box: [(-88.60, -6.18, 0.00), (-88.60, -6.17, 0.00)], Position: (-88.60, -6.18), Info String: Dim Node 52
Element Type: DimNode 53, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 20, Length: 0.20, DimNode 53 Bounding Box: [(-88.40, -6.18, 0.00), (-88.39, -6.17, 0.00)], Position: (-88.40, -6.18), Info String: Dim Node 53
Element Type: DimNode 54, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 7BA8308E-04EF-F2E3-02CC-37F6B454EAE5, Text: 255, Length: 2.55, DimNode 54 Bounding Box: [(-85.85, -6.18, 0.00), (-85.85, -6.17, 0.00)], Position: (-85.85, -6.18), Info String: Dim Node 54
Element Type: DimNode 55, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 7BA8308E-04EF-F2E3-02CC-37F6B454EAE5, Text: 10, Length: 0.10, DimNode 55 Bounding Box: [(-85.75, -6.18, 0.00), (-85.75, -6.17, 0.00)], Position: (-85.75, -6.18), Info String: Dim Node 55
Element Type: DimNode 56, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 97EE94FF-ED0D-FA6F-0509-763902E2818C, Text: 70, Length: 0.70, DimNode 56 Bounding Box: [(-85.06, -6.18, 0.00), (-85.04, -6.17, 0.00)], Position: (-85.05, -6.18), Info String: Dim Node 56
Element Type: DimNode 57, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 4D817BF2-C846-E273-DE0E-7B5C3C24AFEA, Text: 135, Length: 1.35, DimNode 57 Bounding Box: [(-83.71, -6.18, 0.00), (-83.69, -6.17, 0.00)], Position: (-83.70, -6.18), Info String: Dim Node 57
Element Type: DimNode 58, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 4D817BF2-C846-E273-DE0E-7B5C3C24AFEA, Text: 80, Length: 0.80, DimNode 58 Bounding Box: [(-82.90, -6.18, 0.00), (-82.89, -6.17, 0.00)], Position: (-82.90, -6.18), Info String: Dim Node 58
Element Type: DimNode 59, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: E1412C9C-647E-FBF0-4A24-1DD9A5FBA13E, Text: 20, Length: 0.20, DimNode 59 Bounding Box: [(-82.71, -6.18, 0.00), (-82.69, -6.17, 0.00)], Position: (-82.70, -6.18), Info String: Dim Node 59
Element Type: DimNode 60, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 189BFD6E-6806-9835-7755-FE7DC8EFFFF9, Text: 80, Length: 0.80, DimNode 60 Bounding Box: [(-81.90, -6.18, 0.00), (-81.89, -6.17, 0.00)], Position: (-81.90, -6.18), Info String: Dim Node 60
Element Type: DimNode 61, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 189BFD6E-6806-9835-7755-FE7DC8EFFFF9, Text: 100, Length: 1.00, DimNode 61 Bounding Box: [(-80.90, -6.18, 0.00), (-80.89, -6.17, 0.00)], Position: (-80.90, -6.18), Info String: Dim Node 61
Element Type: DimNode 62, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 34201AEC-CA34-AC19-B926-7DECBF86CBEF, Text: 20, Length: 0.20, DimNode 62 Bounding Box: [(-80.71, -6.18, 0.00), (-80.69, -6.17, 0.00)], Position: (-80.70, -6.18), Info String: Dim Node 62
Element Type: DimNode 63, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: B36EAD8D-80A0-9ECA-E6E4-6BB830DF35E7, Text: 50, Length: 0.50, DimNode 63 Bounding Box: [(-80.21, -6.18, 0.00), (-80.19, -6.17, 0.00)], Position: (-80.20, -6.18), Info String: Dim Node 63
Element Type: DimNode 64, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 355A4CF6-DB74-A229-B606-0A9CDA93B5A6, Text: 20, Length: 0.20, DimNode 64 Bounding Box: [(-80.00, -6.18, 0.00), (-80.00, -6.17, 0.00)], Position: (-80.00, -6.18), Info String: Dim Node 64
Element Type: DimNode 65, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 25F18CE5-A007-E201-2273-7540EC7F25E3, Text: 10, Length: 0.10, DimNode 65 Bounding Box: [(-79.90, -6.18, 0.00), (-79.89, -6.17, 0.00)], Position: (-79.90, -6.18), Info String: Dim Node 65
Element Type: DimNode 66, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 25F18CE5-A007-E201-2273-7540EC7F25E3, Text: 100, Length: 1.00, DimNode 66 Bounding Box: [(-78.90, -6.18, 0.00), (-78.89, -6.17, 0.00)], Position: (-78.90, -6.18), Info String: Dim Node 66
Element Type: DimNode 67, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: F29365A2-2530-6DD1-0424-4AF5A35288E7, Text: 75, Length: 0.75, DimNode 67 Bounding Box: [(-78.15, -6.18, 0.00), (-78.14, -6.17, 0.00)], Position: (-78.15, -6.18), Info String: Dim Node 67
Element Type: DimNode 68, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 10, Length: 0.10, DimNode 68 Bounding Box: [(-78.06, -6.18, 0.00), (-78.04, -6.17, 0.00)], Position: (-78.05, -6.18), Info String: Dim Node 68
Element Type: DimNode 69, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: D539066F-8D62-31FF-E2AF-CCC3E5879BD8, Text: 215, Length: 2.15, DimNode 69 Bounding Box: [(-75.90, -6.18, 0.00), (-75.89, -6.17, 0.00)], Position: (-75.90, -6.18), Info String: Dim Node 69
Element Type: DimNode 70, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: D539066F-8D62-31FF-E2AF-CCC3E5879BD8, Text: 20, Length: 0.20, DimNode 70 Bounding Box: [(-75.71, -6.18, 0.00), (-75.69, -6.17, 0.00)], Position: (-75.70, -6.18), Info String: Dim Node 70
Element Type: DimNode 71, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: BC4AA7B3-53FF-2656-375E-27735D51965F, Text: 215, Length: 2.15, DimNode 71 Bounding Box: [(-73.56, -6.18, 0.00), (-73.54, -6.17, 0.00)], Position: (-73.55, -6.18), Info String: Dim Node 71
Element Type: DimNode 72, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: F9A78BA7-417D-19CC-91E0-7FC7D9466CDC, Text: 10, Length: 0.10, DimNode 72 Bounding Box: [(-73.46, -6.18, 0.00), (-73.44, -6.17, 0.00)], Position: (-73.45, -6.18), Info String: Dim Node 72
Element Type: DimNode 73, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 4CA18E50-B633-7ADC-610B-118B3A61C5BB, Text: 185, Length: 1.85, DimNode 73 Bounding Box: [(-71.60, -6.18, 0.00), (-71.60, -6.17, 0.00)], Position: (-71.60, -6.18), Info String: Dim Node 73
Element Type: DimNode 74, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: 4CA18E50-B633-7ADC-610B-118B3A61C5BB, Text: 20, Length: 0.20, DimNode 74 Bounding Box: [(-71.40, -6.18, 0.00), (-71.39, -6.17, 0.00)], Position: (-71.40, -6.18), Info String: Dim Node 74
Element Type: DimNode 75, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: C50CE40C-7AC8-4209-B061-59871BC706B3, Text: 210, Length: 2.10, DimNode 75 Bounding Box: [(-69.31, -6.18, 0.00), (-69.29, -6.17, 0.00)], Position: (-69.30, -6.18), Info String: Dim Node 75
Element Type: DimNode 76, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: C50CE40C-7AC8-4209-B061-59871BC706B3, Text: 10, Length: 0.10, DimNode 76 Bounding Box: [(-69.21, -6.18, 0.00), (-69.19, -6.17, 0.00)], Position: (-69.20, -6.18), Info String: Dim Node 76
Element Type: DimNode 77, GUID: D4B8D2DD-0284-434F-BC8C-5CB974006264, Associated Element GUID: A8C21FCF-E0C3-7F3E-4283-ABE913CF3952, Text: 160, Length: 1.60, DimNode 77 Bounding Box: [(-67.60, -6.18, 0.00), (-67.60, -6.17, 0.00)], Position: (-67.60, -6.18), Info String: Dim Node 77
