Element Type: DimNode 0, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: C252BF2B-895B-4342-8477-A5B00C1D61E7, Text: 0.000, Length: 0.00, DimNode 0 Bounding Box: [(44.16, -0.16, 0.00), (44.17, -0.14, 0.00)], Position: (44.17, -0.15), Info String: Dim Node 0
Element Type: DimNode 1, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 62FBFE50-0C59-E441-9070-82ED4333C30F, Text: 4.225, Length: 4.23, DimNode 1 Bounding Box: [(44.16, -4.38, 0.00), (44.17, -4.37, 0.00)], Position: (44.17, -4.38), Info String: Dim Node 1
Element Type: DimNode 2, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 427A07B4-534D-C147-9633-A718D8878009, Text: 4.775, Length: 4.77, DimNode 2 Bounding Box: [(44.16, -9.15, 0.00), (44.17, -9.15, 0.00)], Position: (44.17, -9.15), Info String: Dim Node 2
Element Type: DimNode 3, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: E7331A34-B3E4-7946-B0A5-93950F4FE10B, Text: 6.700, Length: 6.70, DimNode 3 Bounding Box: [(44.16, -15.85, 0.00), (44.17, -15.85, 0.00)], Position: (44.17, -15.85), Info String: Dim Node 3
Element Type: DimNode 4, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: B0FE5AF8-40AD-BA41-8C87-C4763841FF52, Text: 3.575, Length: 3.58, DimNode 4 Bounding Box: [(44.16, -19.43, 0.00), (44.17, -19.42, 0.00)], Position: (44.17, -19.43), Info String: Dim Node 4
Element Type: DimNode 5, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Associated Element GUID: 218CD0E5-8E23-FC4F-B313-8233AA8F7704, Text: 4.425, Length: 4.43, DimNode 5 Bounding Box: [(44.16, -23.85, 0.00), (44.17, -23.84, 0.00)], Position: (44.17, -23.85), Info String: Dim Node 5
Element Type: Dimension, GUID: C25B55C2-EA46-134A-A406-59A30FC7DEC0, Dimension Bounding Box: [(44.07, -23.91, 0.00), (44.26, -0.09, 0.00)], Length: 23.70, Info String: Dim 1
Element Type: DimNode 6, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Associated Element GUID: F8BECCF9-69AE-9F46-8506-83CA71803790, Text: 0.000, Length: 0.00, DimNode 6 Bounding Box: [(46.19, -26.88, 0.00), (46.20, -26.87, 0.00)], Position: (46.19, -26.88), Info String: Dim Node 6
Element Type: DimNode 7, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Associated Element GUID: 07DF54FB-DECF-F044-8D7C-61A30C3E8E6A, Text: 12.200, Length: 12.20, DimNode 7 Bounding Box: [(58.39, -26.88, 0.00), (58.40, -26.87, 0.00)], Position: (58.39, -26.88), Info String: Dim Node 7
Element Type: Dimension, GUID: F27ED350-C2AA-BF41-A1C5-2B0ECE7B3DC4, Dimension Bounding Box: [(46.13, -26.97, 0.00), (58.45, -26.78, 0.00)], Length: 12.20, Info String: Dim 2
Element Type: DimNode 8, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Associated Element GUID: C252BF2B-895B-4342-8477-A5B00C1D61E7, Text: 0.000, Length: 0.00, DimNode 8 Bounding Box: [(43.52, -0.16, 0.00), (43.53, -0.14, 0.00)], Position: (43.52, -0.15), Info String: Dim Node 8
Element Type: DimNode 9, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Associated Element GUID: 218CD0E5-8E23-FC4F-B313-8233AA8F7704, Text: 23.700, Length: 23.70, DimNode 9 Bounding Box: [(43.52, -23.85, 0.00), (43.53, -23.84, 0.00)], Position: (43.52, -23.85), Info String: Dim Node 9
Element Type: Dimension, GUID: 27899382-13CF-A148-BBA3-BA1C00F1859B, Dimension Bounding Box: [(43.43, -23.91, 0.00), (43.61, -0.09, 0.00)], Length: 23.70, Info String: Dim 3
Element Type: DimNode 10, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: F8BECCF9-69AE-9F46-8506-83CA71803790, Text: 0.000, Length: 0.00, DimNode 10 Bounding Box: [(46.19, -25.88, 0.00), (46.20, -25.87, 0.00)], Position: (46.19, -25.88), Info String: Dim Node 10
Element Type: DimNode 11, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: E367656E-83C9-6345-BDDE-DCA5F3F0E77B, Text: 4.975, Length: 4.98, DimNode 11 Bounding Box: [(51.16, -25.88, 0.00), (51.17, -25.87, 0.00)], Position: (51.17, -25.88), Info String: Dim Node 11
Element Type: DimNode 12, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: 74EAD3FB-A062-8C40-92C8-56C8397B4EBC, Text: 2.250, Length: 2.25, DimNode 12 Bounding Box: [(53.41, -25.88, 0.00), (53.42, -25.87, 0.00)], Position: (53.42, -25.88), Info String: Dim Node 12
Element Type: DimNode 13, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Associated Element GUID: 07DF54FB-DECF-F044-8D7C-61A30C3E8E6A, Text: 4.975, Length: 4.97, DimNode 13 Bounding Box: [(58.39, -25.88, 0.00), (58.40, -25.87, 0.00)], Position: (58.39, -25.88), Info String: Dim Node 13
Element Type: Dimension, GUID: 36E5CCEA-F607-6442-B9B7-754E7E818F98, Dimension Bounding Box: [(46.13, -25.97, 0.00), (58.45, -25.78, 0.00)], Length: 12.20, Info String: Dim 4
Element Type: Wall, GUID: 619B3302-1090-C043-AD9E-A8629EA12E84, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(50.02, -24.70, 3.05), (50.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: A6BB4D4C-1DD1-2E42-872D-557A1EE399EB, Length: 4.97, Width: 0.30, Height: 3.90, Info String: SW - 012, Wall Bounding Box: [(53.57, -9.30, -0.50), (58.54, -9.00, 3.40)], Label Type: 0
Element Type: Wall, GUID: 9BA00D26-C3A2-5C40-86A2-9F7CFDB0AEFB, Length: 1.25, Width: 0.30, Height: 8.40, Info String: SW - 008, Wall Bounding Box: [(46.04, -1.25, -0.50), (46.34, 0.00, 7.90)], Label Type: 0
Element Type: Wall, GUID: E813512C-448D-DA4A-8BC6-9B11B7A1BFF7, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(47.02, -24.70, 3.05), (47.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 86A2577B-CEA1-1944-98E9-1153CC105498, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.32, -24.70, 3.05), (51.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 43FBE5CB-722B-1E44-B4C8-3DF4F29208B2, Length: 8.30, Width: 0.30, Height: 3.70, Info String: SW - 008, Wall Bounding Box: [(46.04, -24.00, -0.30), (46.34, -15.70, 3.40)], Label Type: 0
Element Type: Wall, GUID: F318510C-DA49-784B-8EAF-45FF752B529D, Length: 1.95, Width: 0.03, Height: 0.20, Info String: SW - 014, Wall Bounding Box: [(51.32, -4.26, 2.55), (53.27, -4.23, 2.75)], Label Type: 0
Element Type: Wall, GUID: 669E373A-206B-5740-8E03-EB5558470AA9, Length: 3.30, Width: 0.30, Height: 3.70, Embedded Door GUID: 4F3C42BB-ECF5-464B-8B48-D4C71EFA6EBD, Info String: SW - 008, Wall Bounding Box: [(46.29, -18.40, -0.30), (49.59, -18.10, 3.40)], Label Type: 0
Element Type: Wall, GUID: 4FB441CD-DF1F-6C43-AA52-CAE64623653D, Length: 4.15, Width: 0.30, Height: 2.35, Info String: SW - 012, Wall Bounding Box: [(54.27, -1.55, 0.15), (58.42, -1.25, 2.50)], Label Type: 0
Element Type: Wall, GUID: 46D26CAE-8DB1-2943-A902-5F4ED3C3E0EA, Length: 9.90, Width: 0.30, Height: 4.40, Info String: SW - 011, Wall Bounding Box: [(58.54, 0.25, -1.00), (68.44, 0.55, 3.40)], Label Type: 0
Element Type: Wall, GUID: ACFF10B4-B2C5-AF47-8D87-975A3365C661, Length: 1.95, Width: 0.05, Height: 3.40, Info String: SW - 008, Wall Bounding Box: [(51.32, -4.53, -0.20), (53.27, -4.48, 3.20)], Label Type: 0
Element Type: Wall, GUID: F5328B68-04BB-874F-9FB2-60ADDA03EC05, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.82, -24.70, 3.05), (53.87, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 4F4477BE-1143-CE4A-8D6E-3D642182F1F4, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.22, -24.70, 3.05), (54.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: BC0EC6F7-D3EA-0E4A-B8AC-977AE084D37B, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.92, -24.70, 3.05), (53.97, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 84232287-72D9-E942-874C-A5CA0B8F7D4D, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(54.02, -24.70, 3.05), (54.07, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 688A5BFB-3335-1D41-AB4C-B19368DC8E38, Length: 5.90, Width: 0.30, Height: 3.70, Info String: SW - 008, Wall Bounding Box: [(49.29, -24.00, -0.30), (49.59, -18.10, 3.40)], Label Type: 0
Element Type: Wall, GUID: EF312174-4687-9043-855B-862A949A4E73, Length: 8.30, Width: 0.30, Height: 3.90, Info String: SW - 010, Wall Bounding Box: [(58.24, -24.00, -0.50), (58.54, -15.70, 3.40)], Label Type: 0
Element Type: Wall, GUID: 42B1B32B-543B-DA43-B98F-03E22E3C4047, Length: 2.25, Width: 0.15, Height: 3.15, Embedded Door GUID: A629A9F3-E0B9-8A48-B7F5-EEE1F6950E7E, Info String: SW - 008, Wall Bounding Box: [(51.02, -3.25, 0.05), (53.27, -3.10, 3.20)], Label Type: 0
Element Type: Wall, GUID: 5E5D7ECF-8DBF-E24E-8352-8E71DB30A16D, Length: 2.00, Width: 0.15, Height: 3.50, Info String: SW - 008, Wall Bounding Box: [(53.27, -3.25, -0.30), (53.42, -1.25, 3.20)], Label Type: 0
Element Type: Wall, GUID: 71E8C6E0-1DAA-934A-8A57-778B17049524, Length: 0.85, Width: 0.15, Height: 1.00, Info String: SW - 008, Wall Bounding Box: [(57.14, -3.25, 0.30), (57.29, -2.40, 1.30)], Label Type: 0
Element Type: Wall, GUID: DF2436EE-1DC8-FD49-A968-2A078A196608, Length: 5.10, Width: 0.15, Height: 3.50, Embedded Door GUID: 7016E364-0206-5B4D-BA99-74D5BF3DC3A0, Info String: SW - 008, Wall Bounding Box: [(51.17, -24.00, -0.10), (51.32, -18.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: 6F150C78-31F0-2D48-93F4-BF7E08B9B55C, Length: 1.95, Width: 0.30, Height: 3.90, Embedded Door GUID: DEA46A72-C8F8-8442-BAF2-8F7AAA1C3508, Info String: SW - 008, Wall Bounding Box: [(51.32, -9.30, -0.50), (53.27, -9.00, 3.40)], Label Type: 0
Element Type: Wall, GUID: E98E90F6-0826-0C48-ABD5-3E90FBAD2873, Length: 4.98, Width: 0.30, Height: 3.90, Info String: SW - 012, Wall Bounding Box: [(46.04, -9.30, -0.50), (51.02, -9.00, 3.40)], Label Type: 0
Element Type: Wall, GUID: E054CEDA-D78B-4449-B3B4-A40A891269DC, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.62, -24.70, 3.05), (53.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 15DFDD66-3192-F149-B7AA-C26111479C25, Length: 11.90, Width: 0.30, Height: 0.40, Info String: SW - 012, Wall Bounding Box: [(46.34, -1.55, 2.50), (58.24, -1.25, 2.90)], Label Type: 0
Element Type: Wall, GUID: B941537C-C23C-324F-A5C4-09F9588024EF, Length: 2.02, Width: 0.30, Height: 3.60, Info String: SW - 008, Wall Bounding Box: [(49.29, -24.00, -0.20), (51.32, -23.70, 3.40)], Label Type: 0
Element Type: Wall, GUID: 3C4F2275-4B83-2240-A76C-0DDC3A5ADC68, Length: 2.03, Width: 0.30, Height: 3.50, Info String: SW - 008, Wall Bounding Box: [(53.27, -24.00, -0.10), (55.29, -23.70, 3.40)], Label Type: 0
Element Type: Wall, GUID: 2E4243CC-A263-954A-9C93-7F17159F4898, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.22, -24.70, 3.05), (53.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: C1956FAB-85CF-8847-8E95-09373562B7A4, Length: 3.30, Width: 0.30, Height: 3.70, Embedded Door GUID: 9A5E62C9-ACFD-F846-8FC0-0943D55BAC4B, Info String: SW - 008, Wall Bounding Box: [(54.99, -18.40, -0.30), (58.29, -18.10, 3.40)], Label Type: 0
Element Type: Wall, GUID: 876BAA67-063A-D24C-935A-F93BBC58E483, Length: 5.90, Width: 0.30, Height: 3.70, Info String: SW - 008, Wall Bounding Box: [(54.99, -24.00, -0.30), (55.29, -18.10, 3.40)], Label Type: 0
Element Type: Wall, GUID: 9AF6D8AD-C152-3C4E-B300-C8695540C256, Length: 2.00, Width: 0.15, Height: 3.50, Info String: SW - 008, Wall Bounding Box: [(51.02, -3.25, -0.30), (51.17, -1.25, 3.20)], Label Type: 0
Element Type: Wall, GUID: 01A6087B-8DCE-634E-9BB3-7FDB694639EC, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.52, -24.70, 3.05), (51.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 207E3349-6504-3148-AFCE-EF4E70251EAE, Length: 1.72, Width: 0.15, Height: 3.50, Embedded Door GUID: 54313A83-78A9-904C-B274-EB316716FDB1, Info String: SW - 009, Wall Bounding Box: [(49.59, -20.75, -0.10), (51.32, -20.60, 3.40)], Label Type: 0
Element Type: Wall, GUID: 53AE2523-B17F-8A48-908C-E179D4DFCCC6, Length: 1.40, Width: 0.03, Height: 3.05, Info String: SW - 009, Wall Bounding Box: [(53.24, -24.00, -0.30), (53.27, -22.60, 2.75)], Label Type: 0
Element Type: Wall, GUID: 438EAE37-0E2E-4645-9E85-B024DB1065E9, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(53.52, -24.70, 3.05), (53.57, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 6B62ABC0-D542-8644-AA7A-BC25BD3BEB7D, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.42, -24.70, 3.05), (51.47, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 81E97F5D-F064-B843-B012-727C3013DA7D, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(51.62, -24.70, 3.05), (51.67, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: E9D43A34-E18E-9947-BB67-E86E4D6687AE, Length: 0.03, Width: 0.30, Height: 3.50, Info String: SW - 008, Wall Bounding Box: [(53.27, -4.25, -0.30), (53.57, -4.23, 3.20)], Label Type: 0
Element Type: Wall, GUID: A63ECDB2-2874-4243-83E2-3329B2A3A244, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.32, -24.70, 3.05), (52.37, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 768C3855-D9FB-BE4B-A321-2EEEE1046D1D, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.22, -24.70, 3.05), (52.27, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 1AF726D7-848B-3046-A242-1D3B7D90DD2B, Length: 0.10, Width: 0.05, Height: 4.55, Info String: SW - 010, Wall Bounding Box: [(52.12, -24.70, 3.05), (52.17, -24.60, 7.60)], Label Type: 0
Element Type: Wall, GUID: 54ECCB5A-CB31-F340-8EF6-BF5429153190, Length: 2.00, Width: 0.10, Height: 0.27, Info String: SW - 008, Wall Bounding Box: [(54.07, -3.25, 2.50), (54.17, -1.25, 2.77)], Label Type: 0
